id,ID,LAST_UPDATED,DAYS_WITH_VALID_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,STATION_NAME,LOCAL_YEAR,MEAN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,LOCAL_DATE,NORMAL_SNOWFALL,FRE_PROVINCE_NAME,DAYS_WITH_VALID_SNOWFALL,CLIMATE_IDENTIFIER,NORMAL_PRECIPITATION,LOCAL_MONTH,MAX_TEMPERATURE,HEATING_DEGREE_DAYS,LATITUDE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_MEAN_TEMP,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_PRECIP,NORMAL_SUNSHINE,LONGITUDE,PROVINCE_CODE,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,TOTAL_SNOWFALL,DAYS_WITH_PRECIP_GE_1MM
50620.2014.3,50620.2014.3,2023-09-21 09:53:56,0,1.0,HALIFAX STANFIELD INT'L A,2014,-4.112903225806452,31,-19.5,0,2014-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,11.3,685.5,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,165.4,36.8,10
50620.2013.11,50620.2013.11,2023-07-19 10:45:12,0,0.0,HALIFAX STANFIELD INT'L A,2013,2.6266666666666665,30,-9.5,0,2013-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,16.3,461.2,44.881,,30,30,,30,,-63.509,NS,NOVA SCOTIA,184.5,3.0,10
50620.2013.12,50620.2013.12,2023-07-19 10:57:42,0,10.0,HALIFAX STANFIELD INT'L A,2013,-4.225806451612903,31,-19.0,0,2013-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,11.2,689.0,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,197.9,80.5,20
50620.2014.1,50620.2014.1,2024-03-18 09:46:18,0,17.0,HALIFAX STANFIELD INT'L A,2014,-4.425806451612903,31,-22.6,0,2014-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,12.3,695.2,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,241.1,99.4,19
50620.2014.2,50620.2014.2,2024-03-18 09:45:49,0,12.0,HALIFAX STANFIELD INT'L A,2014,-5.053571428571429,28,-19.4,0,2014-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,8.8,645.5,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,131.6,50.4,16
50620.2015.1,50620.2015.1,2023-09-21 09:50:56,0,14.0,HALIFAX STANFIELD INT'L A,2015,-6.787096774193548,31,-19.4,0,2015-01,,NOUVELLE-ÉCOSSE,30,8202251,,1,9.8,768.4,44.881,,31,31,,30,,-63.509,NS,NOVA SCOTIA,141.4,59.2,14
50620.2014.12,50620.2014.12,2023-09-21 09:56:34,0,0.0,HALIFAX STANFIELD INT'L A,2014,0.49032258064516127,31,-16.4,0,2014-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,16.6,542.8,44.881,,31,31,,30,,-63.509,NS,NOVA SCOTIA,278.0,3.0,15
50620.2015.2,50620.2015.2,2023-09-21 09:58:03,0,,HALIFAX STANFIELD INT'L A,2015,-9.95357142857143,28,-21.7,0,2015-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,5.5,782.7,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,161.3,130.8,18
50620.2015.3,50620.2015.3,2023-09-21 09:58:03,0,60.0,HALIFAX STANFIELD INT'L A,2015,-4.725806451612903,31,-17.4,0,2015-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,8.9,704.5,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,178.1,146.7,15
50620.2014.11,50620.2014.11,2023-09-21 09:59:16,0,,HALIFAX STANFIELD INT'L A,2014,3.6766666666666667,30,-8.6,0,2014-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,17.3,429.7,44.881,,30,30,,29,,-63.509,NS,NOVA SCOTIA,210.9,4.0,13
50620.2016.3,50620.2016.3,2023-09-21 09:49:29,0,,HALIFAX STANFIELD INT'L A,2016,-1.0032258064516129,31,-12.6,0,2016-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,17.1,589.1,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,145.2,47.2,13
50620.2016.2,50620.2016.2,2023-09-21 09:56:34,0,,HALIFAX STANFIELD INT'L A,2016,-2.06551724137931,29,-17.1,0,2016-02,,NOUVELLE-ÉCOSSE,29,8202251,,2,13.6,581.9,44.881,,29,29,,29,,-63.509,NS,NOVA SCOTIA,147.3,36.8,12
50620.2015.12,50620.2015.12,2023-09-21 09:58:03,0,21.0,HALIFAX STANFIELD INT'L A,2015,1.5129032258064516,31,-14.9,0,2015-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,12.8,511.1,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,156.9,57.5,14
50620.2015.11,50620.2015.11,2023-07-19 11:05:25,0,,HALIFAX STANFIELD INT'L A,2015,4.6466666666666665,30,-7.5,0,2015-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,16.0,400.6,44.881,,30,30,,28,,-63.509,NS,NOVA SCOTIA,126.5,0.4,9
50620.2016.1,50620.2016.1,2024-03-18 09:45:57,0,28.0,HALIFAX STANFIELD INT'L A,2016,-4.332258064516129,31,-14.2,0,2016-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,9.5,692.3,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,149.1,96.7,8
50620.2017.2,50620.2017.2,2023-09-21 09:49:29,0,,HALIFAX STANFIELD INT'L A,2017,-3.422222222222222,28,-17.1,0,2017-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,12.3,578.4,44.881,,27,27,,28,,-63.509,NS,NOVA SCOTIA,156.0,131.6,12
50620.2016.11,50620.2016.11,2023-09-21 09:59:17,0,7.0,HALIFAX STANFIELD INT'L A,2016,4.806666666666667,30,-2.5,0,2016-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,14.3,395.8,44.881,,30,30,,30,,-63.509,NS,NOVA SCOTIA,130.5,27.0,13
50620.2017.1,50620.2017.1,2023-09-21 09:59:17,0,0.0,HALIFAX STANFIELD INT'L A,2017,-2.9766666666666666,31,-17.2,0,2017-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,10.0,629.3,44.881,,30,30,,31,,-63.509,NS,NOVA SCOTIA,163.4,49.6,12
50620.2017.3,50620.2017.3,2024-03-18 09:46:31,0,14.0,HALIFAX STANFIELD INT'L A,2017,-3.4633333333333334,30,-19.6,0,2017-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,9.7,643.9,44.881,,31,30,,31,,-63.509,NS,NOVA SCOTIA,129.5,99.0,18
50620.2016.12,50620.2016.12,2024-03-18 09:45:49,0,,HALIFAX STANFIELD INT'L A,2016,-2.893548387096774,31,-17.1,0,2016-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,11.3,647.7,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,183.5,89.2,15
50620.2017.12,50620.2017.12,2023-09-21 09:52:30,0,1.0,HALIFAX STANFIELD INT'L A,2017,-2.567741935483871,31,-16.8,0,2017-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,11.8,637.6,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,180.0,13.0,15
50620.2018.1,50620.2018.1,2023-09-21 09:52:30,0,15.0,HALIFAX STANFIELD INT'L A,2018,-4.487096774193549,31,-17.0,0,2018-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,15.4,697.1,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,154.6,66.7,13
50620.2017.11,50620.2017.11,2023-09-21 09:55:04,0,,HALIFAX STANFIELD INT'L A,2017,4.1482758620689655,29,-7.1,0,2017-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,17.9,401.7,44.881,,29,29,,30,,-63.509,NS,NOVA SCOTIA,144.5,3.2,11
50620.2018.3,50620.2018.3,2023-09-21 09:56:34,0,0.0,HALIFAX STANFIELD INT'L A,2018,0.11666666666666667,30,-11.0,0,2018-03,,NOUVELLE-ÉCOSSE,30,8202251,,3,10.4,536.5,44.881,,31,30,,28,,-63.509,NS,NOVA SCOTIA,120.4,75.5,12
50620.2018.2,50620.2018.2,2023-09-21 09:58:03,0,,HALIFAX STANFIELD INT'L A,2018,-1.1730769230769231,27,-16.2,0,2018-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,11.2,498.5,44.881,,27,26,,28,,-63.509,NS,NOVA SCOTIA,159.7,25.2,15
50620.2018.11,50620.2018.11,2023-09-21 09:50:56,0,9.0,HALIFAX STANFIELD INT'L A,2018,2.4482758620689653,29,-12.5,0,2018-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,18.5,451.0,44.881,,29,29,,30,,-63.509,NS,NOVA SCOTIA,197.9,46.9,16
50620.2019.2,50620.2019.2,2023-09-21 09:50:56,0,6.0,HALIFAX STANFIELD INT'L A,2019,-6.05,28,-16.4,0,2019-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,8.7,673.4,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,87.2,45.5,9
50620.2019.1,50620.2019.1,2023-09-21 09:55:04,0,6.0,HALIFAX STANFIELD INT'L A,2019,-4.516129032258065,31,-16.2,0,2019-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,12.1,698.0,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,139.8,45.0,7
50620.2018.12,50620.2018.12,2023-09-21 09:59:17,0,1.0,HALIFAX STANFIELD INT'L A,2018,-3.6066666666666665,30,-14.0,0,2018-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,13.6,648.2,44.881,,30,30,,31,,-63.509,NS,NOVA SCOTIA,89.9,29.4,9
50620.2019.3,50620.2019.3,2023-09-21 09:59:17,0,,HALIFAX STANFIELD INT'L A,2019,-1.3,31,-15.7,0,2019-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,13.6,598.3,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,115.7,45.6,11
50620.2020.3,50620.2020.3,2023-09-21 09:52:30,0,5.0,HALIFAX STANFIELD INT'L A,2020,-0.5586206896551724,29,-10.4,0,2020-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,10.7,538.2,44.881,,29,29,,31,,-63.509,NS,NOVA SCOTIA,99.6,49.7,9
50620.2020.1,50620.2020.1,2023-09-21 09:55:04,0,2.0,HALIFAX STANFIELD INT'L A,2020,-4.067741935483871,31,-17.8,0,2020-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,9.8,684.1,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,105.4,77.7,11
50620.2020.2,50620.2020.2,2023-09-21 09:56:34,0,4.0,HALIFAX STANFIELD INT'L A,2020,-3.4357142857142855,28,-20.3,0,2020-02,,NOUVELLE-ÉCOSSE,29,8202251,,2,9.3,600.2,44.881,,28,28,,29,,-63.509,NS,NOVA SCOTIA,130.8,71.1,14
50620.2019.11,50620.2019.11,2023-09-21 09:58:03,0,19.0,HALIFAX STANFIELD INT'L A,2019,2.942857142857143,28,-8.3,0,2019-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,19.1,421.6,44.881,,29,28,,30,,-63.509,NS,NOVA SCOTIA,215.1,31.0,16
50620.2019.12,50620.2019.12,2023-09-21 09:58:03,0,1.0,HALIFAX STANFIELD INT'L A,2019,-1.7516129032258065,31,-11.7,0,2019-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,14.3,612.3,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,138.1,32.7,14
50620.2020.12,50620.2020.12,2023-09-21 09:55:04,0,,HALIFAX STANFIELD INT'L A,2020,2.026923076923077,26,-11.1,0,2020-12,,NOUVELLE-ÉCOSSE,23,8202251,,12,15.3,415.3,44.881,,26,26,,31,,-63.509,NS,NOVA SCOTIA,140.0,36.4,15
50620.2020.11,50620.2020.11,2023-09-21 09:59:17,0,,HALIFAX STANFIELD INT'L A,2020,5.479310344827586,29,-8.0,0,2020-11,,NOUVELLE-ÉCOSSE,23,8202251,,11,20.9,363.1,44.881,,29,29,,30,,-63.509,NS,NOVA SCOTIA,125.6,11.8,10
50620.2021.1,50620.2021.1,2021-02-01 11:32:14,0,6.0,HALIFAX STANFIELD INT'L A,2021,-2.9166666666666665,30,-12.1,0,2021-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,5.4,627.5,44.881,,30,30,,31,,-63.509,NS,NOVA SCOTIA,96.1,34.9,8
50620.2021.3,50620.2021.3,2021-04-01 11:33:20,0,,HALIFAX STANFIELD INT'L A,2021,-0.06956521739130435,23,-14.3,0,2021-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,17.8,415.6,44.881,,23,23,,31,,-63.509,NS,NOVA SCOTIA,111.0,34.4,8
50620.2021.2,50620.2021.2,2021-03-01 11:32:30,0,9.0,HALIFAX STANFIELD INT'L A,2021,-4.208333333333333,24,-13.8,0,2021-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,7.7,533.0,44.881,,24,24,,28,,-63.509,NS,NOVA SCOTIA,178.9,93.9,14
50620.2021.11,50620.2021.11,2022-07-19 09:49:23,0,0.0,HALIFAX STANFIELD INT'L A,2021,4.566666666666666,30,-3.8,0,2021-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,16.5,403.0,44.881,,30,30,,30,,-63.509,NS,NOVA SCOTIA,186.6,1.7,13
50620.2021.12,50620.2021.12,2022-07-19 09:49:23,0,5.0,HALIFAX STANFIELD INT'L A,2021,-0.6966666666666667,30,-12.2,0,2021-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,16.1,560.9,44.881,,30,30,,31,,-63.509,NS,NOVA SCOTIA,161.4,35.3,15
50620.2022.1,50620.2022.1,2023-03-17 11:36:32,0,23.0,HALIFAX STANFIELD INT'L A,2022,-5.438709677419355,31,-19.9,0,2022-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,10.5,726.6,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,161.0,48.4,16
50620.2022.3,50620.2022.3,2022-04-06 09:48:40,0,,HALIFAX STANFIELD INT'L A,2022,0.3548387096774194,31,-17.7,0,2022-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,16.2,547.0,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,134.6,34.0,15
50620.2022.2,50620.2022.2,2022-03-04 10:31:57,0,12.0,HALIFAX STANFIELD INT'L A,2022,-3.967857142857143,28,-17.8,0,2022-02,,NOUVELLE-ÉCOSSE,27,8202251,,2,11.9,615.1,44.881,,28,28,,27,,-63.509,NS,NOVA SCOTIA,170.7,14.6,11
50620.2023.2,50620.2023.2,2023-03-01 11:34:05,0,7.0,HALIFAX STANFIELD INT'L A,2023,-5.760714285714286,28,-26.0,0,2023-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,11.8,665.3,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,68.1,25.6,7
50620.2022.12,50620.2022.12,2023-01-01 11:36:07,0,,HALIFAX STANFIELD INT'L A,2022,0.6870967741935484,31,-9.2,0,2022-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,13.7,536.7,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,166.7,1.4,11
50620.2023.1,50620.2023.1,2023-02-09 10:35:20,0,0.0,HALIFAX STANFIELD INT'L A,2023,-0.5258064516129032,31,-11.3,0,2023-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,12.8,574.3,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,209.6,35.4,17
50620.2022.11,50620.2022.11,2022-12-01 11:34:29,0,,HALIFAX STANFIELD INT'L A,2022,5.413333333333333,30,-8.1,0,2022-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,21.5,377.6,44.881,,30,30,,30,,-63.509,NS,NOVA SCOTIA,98.5,0.0,9
50620.2023.3,50620.2023.3,2023-04-01 11:39:36,0,5.0,HALIFAX STANFIELD INT'L A,2023,-0.6741935483870968,31,-11.7,0,2023-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,9.2,578.9,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,60.2,41.9,12
